Data,Hora,Preco
2025-05-03,23,15.17
2025-05-03,24,15.17
2025-05-03,25,16.91
2025-05-03,26,16.91
2025-05-03,27,16.91
2025-05-03,28,16.91
2025-05-03,29,14.13
2025-05-03,30,14.13
2025-05-03,31,14.13
2025-05-03,32,14.13
2025-05-03,33,12.67
2025-05-03,34,12.67
2025-05-03,35,12.67
2025-05-03,36,12.67
2025-05-03,37,5.7
2025-05-03,38,5.7
2025-05-03,39,5.7
2025-05-03,40,5.7
2025-05-03,41,4.31
2025-05-03,42,4.31
2025-05-03,43,4.31
2025-05-03,44,4.31
2025-05-03,45,3.0
2025-05-03,46,3.0
2025-05-03,47,3.0
2025-05-03,48,3.0
2025-05-03,49,4.31
2025-05-03,50,4.31
2025-05-03,51,4.31
2025-05-03,52,4.31
2025-05-03,53,4.7
2025-05-03,54,4.7
2025-05-03,55,4.7
2025-05-03,56,4.7
2025-05-03,57,4.31
2025-05-03,58,4.31
2025-05-03,59,4.31
2025-05-03,60,4.31
2025-05-03,61,0.98
2025-05-03,62,0.98
2025-05-03,63,0.98
2025-05-03,64,0.98
2025-05-03,65,0.27
2025-05-03,66,0.27
2025-05-03,67,0.27
2025-05-03,68,0.27
2025-05-03,69,4.31
2025-05-03,70,4.31
2025-05-03,71,4.31
2025-05-03,72,4.31
2025-05-03,73,5.0
2025-05-03,74,5.0
2025-05-03,75,5.0
2025-05-03,76,5.0
2025-05-03,77,19.01
2025-05-03,78,19.01
2025-05-03,79,19.01
2025-05-03,80,19.01
2025-05-03,81,35.24
2025-05-03,82,35.24
2025-05-03,83,35.24
2025-05-03,84,35.24
2025-05-03,85,57.18
2025-05-03,86,57.18
2025-05-03,87,57.18
2025-05-03,88,57.18
2025-05-03,89,57.18
2025-05-03,90,57.18
2025-05-03,91,57.18
2025-05-03,92,57.18
2025-05-03,93,47.36
2025-05-03,94,47.36
2025-05-03,95,47.36
2025-05-03,96,47.36
2025-05-04,1,36.13
2025-05-04,2,36.13
2025-05-04,3,36.13
2025-05-04,4,36.13
2025-05-04,5,32.35
2025-05-04,6,32.35
2025-05-04,7,32.35
2025-05-04,8,32.35
2025-05-04,9,24.01
2025-05-04,10,24.01
2025-05-04,11,24.01
2025-05-04,12,24.01
2025-05-04,13,19.31
2025-05-04,14,19.31
2025-05-04,15,19.31
2025-05-04,16,19.31
2025-05-04,17,16.54
2025-05-04,18,16.54
2025-05-04,19,16.54
2025-05-04,20,16.54
2025-05-04,21,15.58
2025-05-04,22,15.58
2025-05-04,23,15.58
2025-05-04,24,15.58
2025-05-04,25,13.62
2025-05-04,26,13.62
2025-05-04,27,13.62
2025-05-04,28,13.62
2025-05-04,29,13.0
2025-05-04,30,13.0
2025-05-04,31,13.0
2025-05-04,32,13.0
2025-05-04,33,20.93
2025-05-04,34,20.93
2025-05-04,35,20.93
2025-05-04,36,20.93
2025-05-04,37,20.93
2025-05-04,38,20.93
2025-05-04,39,20.93
2025-05-04,40,20.93
2025-05-04,41,20.93
2025-05-04,42,20.93
2025-05-04,43,20.93
2025-05-04,44,20.93
2025-05-04,45,20.93
2025-05-04,46,20.93
2025-05-04,47,20.93
2025-05-04,48,20.93
2025-05-04,49,20.93
2025-05-04,50,20.93
2025-05-04,51,20.93
2025-05-04,52,20.93
2025-05-04,53,20.93
2025-05-04,54,20.93
2025-05-04,55,20.93
2025-05-04,56,20.93
2025-05-04,57,16.2
2025-05-04,58,16.2
2025-05-04,59,16.2
2025-05-04,60,16.2
2025-05-04,61,6.3
2025-05-04,62,6.3
2025-05-04,63,6.3
2025-05-04,64,6.3
2025-05-04,65,6.09
2025-05-04,66,6.09
2025-05-04,67,6.09
2025-05-04,68,6.09
2025-05-04,69,6.09
2025-05-04,70,6.09
2025-05-04,71,6.09
2025-05-04,72,6.09
2025-05-04,73,14.86
2025-05-04,74,14.86
2025-05-04,75,14.86
2025-05-04,76,14.86
2025-05-04,77,20.94
2025-05-04,78,20.94
2025-05-04,79,20.94
2025-05-04,80,20.94
2025-05-04,81,36.13
2025-05-04,82,36.13
2025-05-04,83,36.13
2025-05-04,84,36.13
2025-05-04,85,35.0
2025-05-04,86,35.0
2025-05-04,87,35.0
2025-05-04,88,35.0
2025-05-04,89,35.0
2025-05-04,90,35.0
2025-05-04,91,35.0
2025-05-04,92,35.0
2025-05-04,93,24.41
2025-05-04,94,24.41
2025-05-04,95,24.41
2025-05-04,96,24.41
2025-05-05,1,47.78
2025-05-05,2,47.78
2025-05-05,3,47.78
2025-05-05,4,47.78
2025-05-05,5,47.56
2025-05-05,6,47.56
2025-05-05,7,47.56
2025-05-05,8,47.56
2025-05-05,9,47.56
2025-05-05,10,47.56
2025-05-05,11,47.56
2025-05-05,12,47.56
2025-05-05,13,47.56
2025-05-05,14,47.56
2025-05-05,15,47.56
2025-05-05,16,47.56
2025-05-05,17,47.56
2025-05-05,18,47.56
2025-05-05,19,47.56
2025-05-05,20,47.56
2025-05-05,21,45.73
2025-05-05,22,45.73
2025-05-05,23,45.73
2025-05-05,24,45.73
2025-05-05,25,47.56
2025-05-05,26,47.56
2025-05-05,27,47.56
2025-05-05,28,47.56
2025-05-05,29,35.0
2025-05-05,30,35.0
2025-05-05,31,35.0
2025-05-05,32,35.0
2025-05-05,33,39.56
2025-05-05,34,39.56
2025-05-05,35,39.56
2025-05-05,36,39.56
2025-05-05,37,47.56
2025-05-05,38,47.56
2025-05-05,39,47.56
2025-05-05,40,47.56
2025-05-05,41,45.43
2025-05-05,42,45.43
2025-05-05,43,45.43
2025-05-05,44,45.43
2025-05-05,45,62.73
2025-05-05,46,62.73
2025-05-05,47,62.73
2025-05-05,48,62.73
2025-05-05,49,47.6
2025-05-05,50,47.6
2025-05-05,51,47.6
2025-05-05,52,47.6
2025-05-05,53,47.56
2025-05-05,54,47.56
2025-05-05,55,47.56
2025-05-05,56,47.56
2025-05-05,57,41.27
2025-05-05,58,41.27
2025-05-05,59,41.27
2025-05-05,60,41.27
2025-05-05,61,33.17
2025-05-05,62,33.17
2025-05-05,63,33.17
2025-05-05,64,33.17
2025-05-05,65,30.36
2025-05-05,66,30.36
2025-05-05,67,30.36
2025-05-05,68,30.36
2025-05-05,69,30.36
2025-05-05,70,30.36
2025-05-05,71,30.36
2025-05-05,72,30.36
2025-05-05,73,31.01
2025-05-05,74,31.01
2025-05-05,75,31.01
2025-05-05,76,31.01
2025-05-05,77,47.56
2025-05-05,78,47.56
2025-05-05,79,47.56
2025-05-05,80,47.56
2025-05-05,81,43.23
2025-05-05,82,43.23
2025-05-05,83,43.23
2025-05-05,84,43.23
2025-05-05,85,47.56
2025-05-05,86,47.56
2025-05-05,87,47.56
2025-05-05,88,47.56
2025-05-05,89,47.56
2025-05-05,90,47.56
2025-05-05,91,47.56
2025-05-05,92,47.56
2025-05-05,93,45.73
2025-05-05,94,45.73
2025-05-05,95,45.73
2025-05-05,96,45.73
2025-05-06,1,47.78
2025-05-06,2,47.78
2025-05-06,3,47.78
2025-05-06,4,47.78
2025-05-06,5,62.76
2025-05-06,6,62.76
2025-05-06,7,62.76
2025-05-06,8,62.76
2025-05-06,9,51.33
2025-05-06,10,51.33
2025-05-06,11,51.33
2025-05-06,12,51.33
2025-05-06,13,47.78
2025-05-06,14,47.78
2025-05-06,15,47.78
2025-05-06,16,47.78
2025-05-06,17,47.78
2025-05-06,18,47.78
2025-05-06,19,47.78
